"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.12.2019","7.103,5","6.882,0","7.265,0","6.720,0","1,80M","3,08%"
"01.11.2019","6.891,0","7.470,0","7.621,0","6.666,0","2,48M","-7,74%"
"01.10.2019","7.469,0","7.502,0","7.739,0","7.026,0","1,86M","-1,01%"
"01.09.2019","7.545,0","7.670,0","7.833,0","6.527,0","2,16M","-1,57%"
"01.08.2019","7.665,0","6.433,0","7.665,0","6.374,5","3,36M","18,65%"
"01.07.2019","6.460,0","5.775,0","6.550,0","5.650,0","2,16M","10,84%"
"01.06.2019","5.828,0","5.179,5","5.989,5","5.175,0","2,37M","12,72%"
"01.05.2019","5.170,5","5.035,0","5.170,5","4.760,0","1,40M","2,64%"
"01.04.2019","5.037,5","5.417,0","5.485,0","4.835,0","3,17M","-7,35%"
"01.03.2019","5.437,0","5.460,0","5.589,0","5.020,0","1,43M","-0,60%"
"01.02.2019","5.470,0","5.529,5","5.555,0","5.148,0","1,31M","-0,44%"
"01.01.2019","5.494,0","5.400,0","5.678,0","5.060,0","830,52K","1,76%"
